Mes,Producto_A,Producto_B,Producto_C,Producto_D,Producto_E
2018-01-01,359,653,297,701,1325
2018-02-01,146,327,70,673,756
2018-03-01,499,570,69,930,899
2018-04-01,469,270,125,908,1381
2018-05-01,293,384,91,545,605
2018-06-01,234,459,282,605,686
2018-07-01,393,674,80,482,1443
2018-08-01,345,635,245,938,960
2018-09-01,117,271,274,918,830
2018-10-01,343,598,264,563,1106
2018-11-01,422,240,76,448,738
2018-12-01,467,656,110,510,1411
2019-01-01,374,340,93,881,745
2019-02-01,138,321,125,442,667
2019-03-01,241,421,128,916,886
2019-04-01,338,744,283,710,1402
2019-05-01,432,656,207,887,1192
2019-06-01,367,491,63,800,924
2019-07-01,350,704,199,707,1276
2019-08-01,172,269,272,423,847
2019-09-01,388,462,284,322,1377
2019-10-01,456,277,186,806,1417
2019-11-01,467,449,84,671,979
2019-12-01,411,571,53,638,1403
2020-01-01,263,300,63,517,851
2020-02-01,204,556,140,595,1343
2020-03-01,266,623,181,696,1289
2020-04-01,235,405,98,530,1196
2020-05-01,279,676,294,797,1442
2020-06-01,390,299,159,399,615
2020-07-01,200,222,280,663,896
2020-08-01,466,430,248,942,1470
2020-09-01,165,624,257,427,1454
2020-10-01,153,308,92,687,1227
2020-11-01,385,562,154,377,968
2020-12-01,306,755,198,857,1372
2021-01-01,208,472,88,438,1335
2021-02-01,214,464,93,404,1131
2021-03-01,495,446,218,912,653
2021-04-01,148,256,292,564,1239
2021-05-01,339,280,288,326,1281
2021-06-01,274,447,144,395,823
2021-07-01,243,557,144,875,986
2021-08-01,331,736,212,943,1089
2021-09-01,229,659,274,485,850
2021-10-01,184,203,204,976,1363
2021-11-01,133,366,76,918,752
2021-12-01,267,241,156,915,1359
2022-01-01,282,223,224,459,1028
2022-02-01,196,273,226,615,658
2022-03-01,329,758,126,487,911
2022-04-01,346,286,225,949,638
2022-05-01,179,453,95,961,765
2022-06-01,405,335,241,508,1421
2022-07-01,196,462,63,539,1446
2022-08-01,444,626,274,616,1101
2022-09-01,321,729,91,821,1310
2022-10-01,415,264,236,653,689
2022-11-01,167,658,58,791,945
2022-12-01,204,499,58,737,1264
2023-01-01,101,437,237,953,883
2023-02-01,210,448,115,717,923
2023-03-01,345,329,207,583,1337
2023-04-01,138,751,239,609,1191
2023-05-01,224,591,189,974,1185
2023-06-01,471,510,182,641,826
2023-07-01,374,289,209,795,967
2023-08-01,131,571,148,443,1065
2023-09-01,466,529,212,721,824
2023-10-01,202,507,203,970,1025
