Mes,Producto_A,Producto_B,Producto_C,Producto_D,Producto_E
2018-01,105.0,155.0,51.0,244,82.0
2018-02,100.0,172.0,63.0,219,76.0
2018-03,109.0,148.0,54.0,264,57.0
2018-04,120.0,171.0,68.0,207,66.0
2018-05,103.0,108.0,71.0,215,80.0
2018-06,105.0,159.0,74.0,213,64.0
2018-07,124.0,147.0,62.0,275,72.0
2018-08,118.0,140.0,58.0,286,74.0
2018-09,107.0,146.0,62.0,214,60.0
2018-10,118.0,114.0,54.0,291,66.0
2018-11,110.0,139.0,47.0,297,41.0
2018-12,111.0,147.0,42.0,265,60.0
2019-01,120.0,163.0,31.0,231,68.0
2019-02,100.0,133.0,33.0,286,63.0
2019-03,103.0,128.0,31.0,262,90.0
2019-04,116.0,132.0,27.0,285,70.0
2019-05,113.0,152.0,43.0,250,83.0
2019-06,128.0,143.0,41.0,224,94.0
2019-07,117.0,129.0,38.0,257,111.0
2019-08,113.0,144.0,54.0,262,94.0
2019-09,144.0,137.0,53.0,261,122.0
2019-10,128.0,149.0,67.0,221,119.0
2019-11,133.0,124.0,73.0,257,117.0
2019-12,119.0,128.0,66.0,257,133.0
2020-01,129.0,127.0,75.0,285,136.0
2020-02,137.0,110.0,70.0,248,133.0
2020-03,126.0,136.0,68.0,251,141.0
2020-04,143.0,134.0,68.0,241,139.0
2020-05,135.0,130.0,51.0,269,143.0
2020-06,139.0,125.0,41.0,214,148.0
2020-07,137.0,107.0,35.0,253,155.0
2020-08,163.0,121.0,30.0,259,132.0
2020-09,146.0,122.0,31.0,296,158.0
2020-10,137.0,114.0,32.0,207,124.0
2020-11,158.0,123.0,33.0,252,138.0
2020-12,139.0,131.0,38.0,259,144.0
2021-01,154.0,152.0,39.0,204,143.0
2021-02,134.0,126.0,53.0,267,137.0
2021-03,142.0,126.0,51.0,205,144.0
2021-04,158.0,121.0,72.0,295,145.0
2021-05,165.0,92.0,67.0,293,149.0
2021-06,161.0,120.0,64.0,246,165.0
2021-07,160.0,120.0,64.0,298,167.0
2021-08,159.0,156.0,72.0,254,165.0
2021-09,149.0,115.0,66.0,239,185.0
2021-10,158.0,122.0,67.0,251,187.0
2021-11,162.0,116.0,60.0,215,197.0
2021-12,179.0,98.0,50.0,212,202.0
2022-01,173.0,132.0,40.0,229,195.0
2022-02,153.0,126.0,31.0,218,202.0
2022-03,176.0,126.0,31.0,216,216.0
2022-04,170.0,99.0,35.0,262,217.0
2022-05,169.0,133.0,31.0,218,214.0
2022-06,183.0,91.0,25.0,291,216.0
2022-07,189.0,120.0,36.0,257,226.0
2022-08,189.0,143.0,42.0,254,210.0
2022-09,173.0,95.0,42.0,289,219.0
2022-10,180.0,100.0,54.0,289,212.0
2022-11,187.0,109.0,60.0,261,211.0
2022-12,195.0,100.0,59.0,222,221.0
2023-01,182.0,83.0,70.0,208,219.0
2023-02,187.0,107.0,73.0,211,220.0
2023-03,179.0,89.0,75.0,200,225.0
2023-04,179.0,111.0,72.0,257,218.0
2023-05,201.0,90.0,55.0,200,227.0
2023-06,208.0,126.0,52.0,233,223.0
2023-07,195.0,90.0,52.0,295,233.0
2023-08,207.0,97.0,46.0,247,236.0
2023-09,202.0,113.0,40.0,288,244.0
2023-10,194.0,82.0,52.0,200,254.0
